[02-Dec-2022 23:04:57 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/redis@8.1/redis.so' (tried: /opt/homebrew/opt/redis@8.1/redis.so (dlopen(/opt/homebrew/opt/redis@8.1/redis.so, 0x0009): tried: '/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/opt/homebrew/opt/redis@8.1/redis.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:01 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (tried: /opt/homebrew/opt/igbinary@8.1/igbinary.so (dlopen(/opt/homebrew/opt/igbinary@8.1/igbinary.so, 0x0009): tried: '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file), '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:01 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (tried: /opt/homebrew/opt/msgpack@8.1/msgpack.so (dlopen(/opt/homebrew/opt/msgpack@8.1/msgpack.so, 0x0009): tried: '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file), '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:01 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/amqp@8.1/amqp.so' (tried: /opt/homebrew/opt/amqp@8.1/amqp.so (dlopen(/opt/homebrew/opt/amqp@8.1/amqp.so, 0x0009): tried: '/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file), '/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:01 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/redis@8.1/redis.so' (tried: /opt/homebrew/opt/redis@8.1/redis.so (dlopen(/opt/homebrew/opt/redis@8.1/redis.so, 0x0009): tried: '/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/opt/homebrew/opt/redis@8.1/redis.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:48 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (tried: /opt/homebrew/opt/igbinary@8.1/igbinary.so (dlopen(/opt/homebrew/opt/igbinary@8.1/igbinary.so, 0x0009): tried: '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file), '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:48 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (tried: /opt/homebrew/opt/msgpack@8.1/msgpack.so (dlopen(/opt/homebrew/opt/msgpack@8.1/msgpack.so, 0x0009): tried: '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file), '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:48 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/amqp@8.1/amqp.so' (tried: /opt/homebrew/opt/amqp@8.1/amqp.so (dlopen(/opt/homebrew/opt/amqp@8.1/amqp.so, 0x0009): tried: '/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file), '/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:20:48 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/redis@8.1/redis.so' (tried: /opt/homebrew/opt/redis@8.1/redis.so (dlopen(/opt/homebrew/opt/redis@8.1/redis.so, 0x0009): tried: '/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/opt/homebrew/opt/redis@8.1/redis.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:26:41 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (tried: /opt/homebrew/opt/igbinary@8.1/igbinary.so (dlopen(/opt/homebrew/opt/igbinary@8.1/igbinary.so, 0x0009): tried: '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file), '/opt/homebrew/opt/igbinary@8.1/igbinary.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/igbinary@8.1/igbinary.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:26:41 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (tried: /opt/homebrew/opt/msgpack@8.1/msgpack.so (dlopen(/opt/homebrew/opt/msgpack@8.1/msgpack.so, 0x0009): tried: '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file), '/opt/homebrew/opt/msgpack@8.1/msgpack.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/msgpack@8.1/msgpack.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:26:41 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/amqp@8.1/amqp.so' (tried: /opt/homebrew/opt/amqp@8.1/amqp.so (dlopen(/opt/homebrew/opt/amqp@8.1/amqp.so, 0x0009): tried: '/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file), '/opt/homebrew/opt/amqp@8.1/amqp.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/amqp@8.1/amqp.so.so' (no such file))) in Unknown on line 0
[02-Dec-2022 23:26:41 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/opt/homebrew/opt/redis@8.1/redis.so' (tried: /opt/homebrew/opt/redis@8.1/redis.so (dlopen(/opt/homebrew/opt/redis@8.1/redis.so, 0x0009): tried: '/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/redis@8.1/redis.so' (no such file), '/opt/homebrew/opt/redis@8.1/redis.so' (no such file)), /opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so (dlopen(/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so, 0x0009): tried: '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file), '/opt/homebrew/lib/php/pecl/20210902//opt/homebrew/opt/redis@8.1/redis.so.so' (no such file))) in Unknown on line 0
